coverages,resource_id,date_last_updated,bag_url,science_metadata_url,creator,resource_map_url,immutable,resource_title,shareable,discoverable,published,date_created,resource_url,public,resource_type
[],1d78964652034876b1c190647b21a77d,09-15-2016,http://www.hydroshare.org/django_irods/download/bags/1d78964652034876b1c190647b21a77d.zip,http://www.hydroshare.org/hsapi/resource/1d78964652034876b1c190647b21a77d/scimeta/,Cassandra Fagan,http://www.hydroshare.org/hsapi/resource/1d78964652034876b1c190647b21a77d/map/,False,NFIE-Geo Texas-Gulf Region,True,True,False,08-31-2015,http://www.hydroshare.org/resource/1d78964652034876b1c190647b21a77d/,True,GenericResource
[],22c6c32608694cf38746cd665f255957,10-27-2015,http://www.hydroshare.org/django_irods/download/bags/22c6c32608694cf38746cd665f255957.zip,http://www.hydroshare.org/hsapi/resource/22c6c32608694cf38746cd665f255957/scimeta/,David Tarboton,http://www.hydroshare.org/hsapi/resource/22c6c32608694cf38746cd665f255957/map/,False,Instructions for GIS in Water Resources Term Projects Fall 2015,True,True,False,09-13-2015,http://www.hydroshare.org/resource/22c6c32608694cf38746cd665f255957/,True,GenericResource
[],2443f9ff1217412f992b27f89942f87e,09-10-2015,http://www.hydroshare.org/django_irods/download/bags/2443f9ff1217412f992b27f89942f87e.zip,http://www.hydroshare.org/hsapi/resource/2443f9ff1217412f992b27f89942f87e/scimeta/,Erin Jones,http://www.hydroshare.org/hsapi/resource/2443f9ff1217412f992b27f89942f87e/map/,False,Wasatch Range Metropolitan Area E. coli densities,True,True,False,09-10-2015,http://www.hydroshare.org/resource/2443f9ff1217412f992b27f89942f87e/,True,GenericResource
[],2ccee33680d64c138762ae8928810749,07-15-2015,http://www.hydroshare.org/django_irods/download/bags/2ccee33680d64c138762ae8928810749.zip,http://www.hydroshare.org/hsapi/resource/2ccee33680d64c138762ae8928810749/scimeta/,Nathan Swain,http://www.hydroshare.org/hsapi/resource/2ccee33680d64c138762ae8928810749/map/,False,CI-WATER Workshop - Tethys Provo Dam Break App Data,True,True,False,07-15-2015,http://www.hydroshare.org/resource/2ccee33680d64c138762ae8928810749/,True,GenericResource
[],2d07c0d7695149f39c233bf3215ccd4a,08-12-2015,http://www.hydroshare.org/django_irods/download/bags/2d07c0d7695149f39c233bf3215ccd4a.zip,http://www.hydroshare.org/hsapi/resource/2d07c0d7695149f39c233bf3215ccd4a/scimeta/,Brian Miles,http://www.hydroshare.org/hsapi/resource/2d07c0d7695149f39c233bf3215ccd4a/map/,False,Ellerbe Creek at Club Blvd RHESSys model (30-m resolution),True,True,False,08-12-2015,http://www.hydroshare.org/resource/2d07c0d7695149f39c233bf3215ccd4a/,True,GenericResource
[],310621bbccf24c958854632b2b26ad45,08-31-2015,http://www.hydroshare.org/django_irods/download/bags/310621bbccf24c958854632b2b26ad45.zip,http://www.hydroshare.org/hsapi/resource/310621bbccf24c958854632b2b26ad45/scimeta/,Cassandra Fagan,http://www.hydroshare.org/hsapi/resource/310621bbccf24c958854632b2b26ad45/map/,False,NFIE-Geo Mid-Atlantic Region,True,True,False,08-31-2015,http://www.hydroshare.org/resource/310621bbccf24c958854632b2b26ad45/,True,GenericResource
[],3118410c99bd4a86a91407e0a3d16e9a,09-10-2015,http://www.hydroshare.org/django_irods/download/bags/3118410c99bd4a86a91407e0a3d16e9a.zip,http://www.hydroshare.org/hsapi/resource/3118410c99bd4a86a91407e0a3d16e9a/scimeta/,Prasanna Dahal,http://www.hydroshare.org/hsapi/resource/3118410c99bd4a86a91407e0a3d16e9a/map/,False,InformaticsClass_SampleUpload_01,True,True,False,09-10-2015,http://www.hydroshare.org/resource/3118410c99bd4a86a91407e0a3d16e9a/,True,GenericResource
[],31ee40f4726546f5ab9ca2e3a8e3d557,06-30-2015,http://www.hydroshare.org/django_irods/download/bags/31ee40f4726546f5ab9ca2e3a8e3d557.zip,http://www.hydroshare.org/hsapi/resource/31ee40f4726546f5ab9ca2e3a8e3d557/scimeta/,Alan Snow,http://www.hydroshare.org/hsapi/resource/31ee40f4726546f5ab9ca2e3a8e3d557/map/,False,NFIE Souris-Red-Rainy Region,True,True,False,06-03-2015,http://www.hydroshare.org/resource/31ee40f4726546f5ab9ca2e3a8e3d557/,True,GenericResource
[],31f35199a2e548e29786182fbb3e2941,10-16-2015,http://www.hydroshare.org/django_irods/download/bags/31f35199a2e548e29786182fbb3e2941.zip,http://www.hydroshare.org/hsapi/resource/31f35199a2e548e29786182fbb3e2941/scimeta/,Fernando Salas,http://www.hydroshare.org/hsapi/resource/31f35199a2e548e29786182fbb3e2941/map/,False,NFIE-Geo Version 2 (20150615),True,True,False,06-15-2015,http://www.hydroshare.org/resource/31f35199a2e548e29786182fbb3e2941/,True,GenericResource
[],3202e694a05143f1a9ba30f8bc615cab,12-03-2015,http://www.hydroshare.org/django_irods/download/bags/3202e694a05143f1a9ba30f8bc615cab.zip,http://www.hydroshare.org/hsapi/resource/3202e694a05143f1a9ba30f8bc615cab/scimeta/,Konrad Hafen,http://www.hydroshare.org/hsapi/resource/3202e694a05143f1a9ba30f8bc615cab/map/,False,Modeling the surface storage potential of beaver dams in the Temple Fork Watershed,True,True,False,09-23-2015,http://www.hydroshare.org/resource/3202e694a05143f1a9ba30f8bc615cab/,True,GenericResource
[],37ff272fbed14653b32e0a0308840ee3,12-05-2015,http://www.hydroshare.org/django_irods/download/bags/37ff272fbed14653b32e0a0308840ee3.zip,http://www.hydroshare.org/hsapi/resource/37ff272fbed14653b32e0a0308840ee3/scimeta/,Daniel Ethington,http://www.hydroshare.org/hsapi/resource/37ff272fbed14653b32e0a0308840ee3/map/,False,GIS in Water Resources Term Project 2015,True,True,False,09-25-2015,http://www.hydroshare.org/resource/37ff272fbed14653b32e0a0308840ee3/,True,GenericResource
[],39127f7285d548e181a81ca5a789fb79,10-16-2015,http://www.hydroshare.org/django_irods/download/bags/39127f7285d548e181a81ca5a789fb79.zip,http://www.hydroshare.org/hsapi/resource/39127f7285d548e181a81ca5a789fb79/scimeta/,Alan Snow,http://www.hydroshare.org/hsapi/resource/39127f7285d548e181a81ca5a789fb79/map/,False,NFIE California Region,True,True,False,06-03-2015,http://www.hydroshare.org/resource/39127f7285d548e181a81ca5a789fb79/,True,GenericResource
[],46c1b0f6c16c4ae1b71298cda7cfc0ab,08-02-2017,http://www.hydroshare.org/django_irods/download/bags/46c1b0f6c16c4ae1b71298cda7cfc0ab.zip,http://www.hydroshare.org/hsapi/resource/46c1b0f6c16c4ae1b71298cda7cfc0ab/scimeta/,Cassandra Fagan,http://www.hydroshare.org/hsapi/resource/46c1b0f6c16c4ae1b71298cda7cfc0ab/map/,False,NFIE-Geo Great Basin Region,True,True,False,08-31-2015,http://www.hydroshare.org/resource/46c1b0f6c16c4ae1b71298cda7cfc0ab/,True,GenericResource
[],500952f35e0b456f984835d306dfa4a3,08-31-2015,http://www.hydroshare.org/django_irods/download/bags/500952f35e0b456f984835d306dfa4a3.zip,http://www.hydroshare.org/hsapi/resource/500952f35e0b456f984835d306dfa4a3/scimeta/,Cassandra Fagan,http://www.hydroshare.org/hsapi/resource/500952f35e0b456f984835d306dfa4a3/map/,False,NFIE-Geo Colorado Region,True,True,False,08-31-2015,http://www.hydroshare.org/resource/500952f35e0b456f984835d306dfa4a3/,True,GenericResource
"[{u'type': u'box', u'value': {u'northlimit': u'41.867126409', u'projection': u'WGS 84 EPSG:4326', u'units': u'Decimal degrees', u'southlimit': u'41.8639080745', u'eastlimit': u'-111.505940368', u'westlimit': u'-111.51138808'}}, {u'type': u'period', u'value': {u'start': u'2009-10-01 00:00:00', u'end': u'2010-05-30 23:00:00'}}]",50fa9c5b3b5b4263bf4f1752a8b6723c,06-02-2016,http://www.hydroshare.org/django_irods/download/bags/50fa9c5b3b5b4263bf4f1752a8b6723c.zip,http://www.hydroshare.org/hsapi/resource/50fa9c5b3b5b4263bf4f1752a8b6723c/scimeta/,Tseganeh Z. Gichamo,http://www.hydroshare.org/hsapi/resource/50fa9c5b3b5b4263bf4f1752a8b6723c/map/,False,Snow water equivalent estimation at  TWDEF site from Oct 2009 to June 2010,True,True,False,06-03-2015,http://www.hydroshare.org/resource/50fa9c5b3b5b4263bf4f1752a8b6723c/,True,NetcdfResource
[],53bab1bbcd544ad78e45443da7246fe4,06-11-2015,http://www.hydroshare.org/django_irods/download/bags/53bab1bbcd544ad78e45443da7246fe4.zip,http://www.hydroshare.org/hsapi/resource/53bab1bbcd544ad78e45443da7246fe4/scimeta/,David Tarboton,http://www.hydroshare.org/hsapi/resource/53bab1bbcd544ad78e45443da7246fe4/map/,False,Presentations for iRODS User Group meeting,True,True,False,06-11-2015,http://www.hydroshare.org/resource/53bab1bbcd544ad78e45443da7246fe4/,True,GenericResource
[],57d8a925efbd4c33ac074297ade37ad8,06-29-2015,http://www.hydroshare.org/django_irods/download/bags/57d8a925efbd4c33ac074297ade37ad8.zip,http://www.hydroshare.org/hsapi/resource/57d8a925efbd4c33ac074297ade37ad8/scimeta/,Alan Snow,http://www.hydroshare.org/hsapi/resource/57d8a925efbd4c33ac074297ade37ad8/map/,False,NFIE Texas-Gulf Region,True,True,False,06-03-2015,http://www.hydroshare.org/resource/57d8a925efbd4c33ac074297ade37ad8/,True,GenericResource
[],6805aaed7a424d8f9971ac404ecd1da3,08-31-2015,http://www.hydroshare.org/django_irods/download/bags/6805aaed7a424d8f9971ac404ecd1da3.zip,http://www.hydroshare.org/hsapi/resource/6805aaed7a424d8f9971ac404ecd1da3/scimeta/,Cassandra Fagan,http://www.hydroshare.org/hsapi/resource/6805aaed7a424d8f9971ac404ecd1da3/map/,False,NFIE-Geo Great Lakes Region,True,True,False,08-31-2015,http://www.hydroshare.org/resource/6805aaed7a424d8f9971ac404ecd1da3/,True,GenericResource
[],68fe2d39f40e4bf5bdfde6526259dc10,12-07-2015,http://www.hydroshare.org/django_irods/download/bags/68fe2d39f40e4bf5bdfde6526259dc10.zip,http://www.hydroshare.org/hsapi/resource/68fe2d39f40e4bf5bdfde6526259dc10/scimeta/,Trinity Stout,http://www.hydroshare.org/hsapi/resource/68fe2d39f40e4bf5bdfde6526259dc10/map/,False,Seepage Studies in Logan River and Red Butte Creek,True,True,False,09-24-2015,http://www.hydroshare.org/resource/68fe2d39f40e4bf5bdfde6526259dc10/,True,GenericResource
[],6a38890c0ce24c22badf89cb1da6be79,08-31-2015,http://www.hydroshare.org/django_irods/download/bags/6a38890c0ce24c22badf89cb1da6be79.zip,http://www.hydroshare.org/hsapi/resource/6a38890c0ce24c22badf89cb1da6be79/scimeta/,Cassandra Fagan,http://www.hydroshare.org/hsapi/resource/6a38890c0ce24c22badf89cb1da6be79/map/,False,NFIE-Geo Pacific Northwest Region,True,True,False,08-31-2015,http://www.hydroshare.org/resource/6a38890c0ce24c22badf89cb1da6be79/,True,GenericResource
[],6db094fb5e5e4fae9a0bd047263d9ebc,12-04-2015,http://www.hydroshare.org/django_irods/download/bags/6db094fb5e5e4fae9a0bd047263d9ebc.zip,http://www.hydroshare.org/hsapi/resource/6db094fb5e5e4fae9a0bd047263d9ebc/scimeta/,Kyle Renner,http://www.hydroshare.org/hsapi/resource/6db094fb5e5e4fae9a0bd047263d9ebc/map/,False,Modeling Avalanche Risk,True,True,False,09-24-2015,http://www.hydroshare.org/resource/6db094fb5e5e4fae9a0bd047263d9ebc/,True,GenericResource
[],6dbb0dfb8f3a498881e4de428cb1587c,08-07-2015,http://www.hydroshare.org/django_irods/download/bags/6dbb0dfb8f3a498881e4de428cb1587c.zip,http://www.hydroshare.org/hsapi/resource/6dbb0dfb8f3a498881e4de428cb1587c/scimeta/,Brian Miles,http://www.hydroshare.org/hsapi/resource/6dbb0dfb8f3a498881e4de428cb1587c/map/,False,"RHESSys model of Dead Run 5 watershed, Baltimore County, Maryland, USA (with rain gardens)",True,True,False,07-27-2015,http://www.hydroshare.org/resource/6dbb0dfb8f3a498881e4de428cb1587c/,True,GenericResource
[],7246f52a298848e4830249e8b626a904,06-30-2015,http://www.hydroshare.org/django_irods/download/bags/7246f52a298848e4830249e8b626a904.zip,http://www.hydroshare.org/hsapi/resource/7246f52a298848e4830249e8b626a904/scimeta/,Alan Snow,http://www.hydroshare.org/hsapi/resource/7246f52a298848e4830249e8b626a904/map/,False,NFIE Pacific Northwest Region,True,True,False,06-03-2015,http://www.hydroshare.org/resource/7246f52a298848e4830249e8b626a904/,True,GenericResource
"[{u'type': u'box', u'value': {u'northlimit': 42.1107160531, u'uplimit': None, u'projection': u'WGS 84 EPSG:4326', u'downlimit': None, u'zunits': None, u'units': u'Decimal degrees', u'southlimit': 41.6641797506, u'westlimit': -111.817618871, u'eastlimit': -111.45699925, u'name': u'Logan River Basin'}}]",877bf9ed9e66468cadddb229838a9ced,06-04-2017,http://www.hydroshare.org/django_irods/download/bags/877bf9ed9e66468cadddb229838a9ced.zip,http://www.hydroshare.org/hsapi/resource/877bf9ed9e66468cadddb229838a9ced/scimeta/,David Tarboton,http://www.hydroshare.org/hsapi/resource/877bf9ed9e66468cadddb229838a9ced/map/,True,Logan Specific Catchment Area,False,True,True,06-05-2015,http://www.hydroshare.org/resource/877bf9ed9e66468cadddb229838a9ced/,True,RasterResource
[],7ccd6a6a8341443a9d9396ca4502ad22,10-16-2015,http://www.hydroshare.org/django_irods/download/bags/7ccd6a6a8341443a9d9396ca4502ad22.zip,http://www.hydroshare.org/hsapi/resource/7ccd6a6a8341443a9d9396ca4502ad22/scimeta/,Brittany Van Grouw,http://www.hydroshare.org/hsapi/resource/7ccd6a6a8341443a9d9396ca4502ad22/map/,False,Precipitation Depth Table from Salt Lake City Zoo Station,True,True,False,09-10-2015,http://www.hydroshare.org/resource/7ccd6a6a8341443a9d9396ca4502ad22/,True,GenericResource
[],85d16c91c20f450f8aecb460c8cfb947,06-30-2015,http://www.hydroshare.org/django_irods/download/bags/85d16c91c20f450f8aecb460c8cfb947.zip,http://www.hydroshare.org/hsapi/resource/85d16c91c20f450f8aecb460c8cfb947/scimeta/,Alan Snow,http://www.hydroshare.org/hsapi/resource/85d16c91c20f450f8aecb460c8cfb947/map/,False,NFIE South Atlantic-Gulf Region,True,True,False,06-03-2015,http://www.hydroshare.org/resource/85d16c91c20f450f8aecb460c8cfb947/,True,GenericResource
[],895cc2fc795f4a63ab35c291d39977dc,08-12-2015,http://www.hydroshare.org/django_irods/download/bags/895cc2fc795f4a63ab35c291d39977dc.zip,http://www.hydroshare.org/hsapi/resource/895cc2fc795f4a63ab35c291d39977dc/scimeta/,Brian Miles,http://www.hydroshare.org/hsapi/resource/895cc2fc795f4a63ab35c291d39977dc/map/,False,"Dead Run 5, Catonsville, MD RHESSys model",True,True,False,08-12-2015,http://www.hydroshare.org/resource/895cc2fc795f4a63ab35c291d39977dc/,True,GenericResource
[],89125e9a3af544eab2479b7a974100ba,12-21-2017,http://www.hydroshare.org/django_irods/download/bags/89125e9a3af544eab2479b7a974100ba.zip,http://www.hydroshare.org/hsapi/resource/89125e9a3af544eab2479b7a974100ba/scimeta/,David Tarboton,http://www.hydroshare.org/hsapi/resource/89125e9a3af544eab2479b7a974100ba/map/,False,Great Salt Lake Area Volume Data,True,True,False,08-07-2015,http://www.hydroshare.org/resource/89125e9a3af544eab2479b7a974100ba/,True,GenericResource
[],89e8df6d8b134238b30225df1a2cf454,09-10-2015,http://www.hydroshare.org/django_irods/download/bags/89e8df6d8b134238b30225df1a2cf454.zip,http://www.hydroshare.org/hsapi/resource/89e8df6d8b134238b30225df1a2cf454/scimeta/,Daniel Herbert,http://www.hydroshare.org/hsapi/resource/89e8df6d8b134238b30225df1a2cf454/map/,False,Camp Williams Fire Burn Severity,True,True,False,09-10-2015,http://www.hydroshare.org/resource/89e8df6d8b134238b30225df1a2cf454/,True,GenericResource
[],97add6638f7841278c73519e7192b252,07-29-2015,http://www.hydroshare.org/django_irods/download/bags/97add6638f7841278c73519e7192b252.zip,http://www.hydroshare.org/hsapi/resource/97add6638f7841278c73519e7192b252/scimeta/,David Tarboton,http://www.hydroshare.org/hsapi/resource/97add6638f7841278c73519e7192b252/map/,False,A Conceptual Framework for the National Flood Interoperability Experiment (NFIE),True,True,False,07-29-2015,http://www.hydroshare.org/resource/97add6638f7841278c73519e7192b252/,True,GenericResource
[],9d5ac26acb8c404fb9ab6e3573ec2c49,04-12-2016,http://www.hydroshare.org/django_irods/download/bags/9d5ac26acb8c404fb9ab6e3573ec2c49.zip,http://www.hydroshare.org/hsapi/resource/9d5ac26acb8c404fb9ab6e3573ec2c49/scimeta/,Dan Ames,http://www.hydroshare.org/hsapi/resource/9d5ac26acb8c404fb9ab6e3573ec2c49/map/,False,This is a test Generic Resource,True,True,False,06-10-2015,http://www.hydroshare.org/resource/9d5ac26acb8c404fb9ab6e3573ec2c49/,True,GenericResource
[],a45ab616669141dd9d570ce90e38e0c0,06-29-2015,http://www.hydroshare.org/django_irods/download/bags/a45ab616669141dd9d570ce90e38e0c0.zip,http://www.hydroshare.org/hsapi/resource/a45ab616669141dd9d570ce90e38e0c0/scimeta/,Alan Snow,http://www.hydroshare.org/hsapi/resource/a45ab616669141dd9d570ce90e38e0c0/map/,False,NFIE Great Lakes Region,True,True,False,06-03-2015,http://www.hydroshare.org/resource/a45ab616669141dd9d570ce90e38e0c0/,True,GenericResource
[],a6e2807f0e354798a4d7b16d296d58ea,12-05-2015,http://www.hydroshare.org/django_irods/download/bags/a6e2807f0e354798a4d7b16d296d58ea.zip,http://www.hydroshare.org/hsapi/resource/a6e2807f0e354798a4d7b16d296d58ea/scimeta/,Matthew Meier,http://www.hydroshare.org/hsapi/resource/a6e2807f0e354798a4d7b16d296d58ea/map/,False,GIS in Water Resources Term Project 2015,True,True,False,09-29-2015,http://www.hydroshare.org/resource/a6e2807f0e354798a4d7b16d296d58ea/,True,GenericResource
[],a7c809ad6d0c444591a896d63c2966bb,08-31-2015,http://www.hydroshare.org/django_irods/download/bags/a7c809ad6d0c444591a896d63c2966bb.zip,http://www.hydroshare.org/hsapi/resource/a7c809ad6d0c444591a896d63c2966bb/scimeta/,Cassandra Fagan,http://www.hydroshare.org/hsapi/resource/a7c809ad6d0c444591a896d63c2966bb/map/,False,NFIE-Geo New England Region,True,True,False,08-31-2015,http://www.hydroshare.org/resource/a7c809ad6d0c444591a896d63c2966bb/,True,GenericResource
[],ab4fce9c3ee84675b4179c995a60a811,10-14-2015,http://www.hydroshare.org/django_irods/download/bags/ab4fce9c3ee84675b4179c995a60a811.zip,http://www.hydroshare.org/hsapi/resource/ab4fce9c3ee84675b4179c995a60a811/scimeta/,Jiri Kadlec,http://www.hydroshare.org/hsapi/resource/ab4fce9c3ee84675b4179c995a60a811/map/,False,Cross Country Ski Trips from Garmin - February 2015,True,True,False,10-14-2015,http://www.hydroshare.org/resource/ab4fce9c3ee84675b4179c995a60a811/,True,GenericResource
[],aef5ee3eec4343f7beac46acf6706360,12-07-2015,http://www.hydroshare.org/django_irods/download/bags/aef5ee3eec4343f7beac46acf6706360.zip,http://www.hydroshare.org/hsapi/resource/aef5ee3eec4343f7beac46acf6706360/scimeta/,mitchell jenkins,http://www.hydroshare.org/hsapi/resource/aef5ee3eec4343f7beac46acf6706360/map/,False,GIS in Water Resources Term Project 2015,True,True,False,09-29-2015,http://www.hydroshare.org/resource/aef5ee3eec4343f7beac46acf6706360/,True,GenericResource
[],b26090299ec947c692d4ee4651815579,04-23-2017,http://www.hydroshare.org/django_irods/download/bags/b26090299ec947c692d4ee4651815579.zip,http://www.hydroshare.org/hsapi/resource/b26090299ec947c692d4ee4651815579/scimeta/,David Tarboton,http://www.hydroshare.org/hsapi/resource/b26090299ec947c692d4ee4651815579/map/,False,Great Salt Lake Level and Volume,True,True,False,08-07-2015,http://www.hydroshare.org/resource/b26090299ec947c692d4ee4651815579/,True,GenericResource
"[{u'type': u'box', u'value': {u'northlimit': 42.1107160531, u'uplimit': None, u'projection': u'WGS 84 EPSG:4326', u'downlimit': None, u'zunits': None, u'units': u'Decimal degrees', u'southlimit': 41.6641797506, u'westlimit': -111.817618871, u'eastlimit': -111.45699925, u'name': u'Logan River Basin'}}]",b7822782896143ca8712395f6814c44b,06-04-2017,http://www.hydroshare.org/django_irods/download/bags/b7822782896143ca8712395f6814c44b.zip,http://www.hydroshare.org/hsapi/resource/b7822782896143ca8712395f6814c44b/scimeta/,David Tarboton,http://www.hydroshare.org/hsapi/resource/b7822782896143ca8712395f6814c44b/map/,True,Logan Digital Elevation Model,False,True,True,06-05-2015,http://www.hydroshare.org/resource/b7822782896143ca8712395f6814c44b/,True,RasterResource
[],b9eb482835ec48b89c2e85d4281b2b92,06-29-2015,http://www.hydroshare.org/django_irods/download/bags/b9eb482835ec48b89c2e85d4281b2b92.zip,http://www.hydroshare.org/hsapi/resource/b9eb482835ec48b89c2e85d4281b2b92/scimeta/,Alan Snow,http://www.hydroshare.org/hsapi/resource/b9eb482835ec48b89c2e85d4281b2b92/map/,False,NFIE New England Region,True,True,False,06-03-2015,http://www.hydroshare.org/resource/b9eb482835ec48b89c2e85d4281b2b92/,True,GenericResource
[],bf0ef05c01bc474caeb6b7c6e55c4d7a,08-12-2015,http://www.hydroshare.org/django_irods/download/bags/bf0ef05c01bc474caeb6b7c6e55c4d7a.zip,http://www.hydroshare.org/hsapi/resource/bf0ef05c01bc474caeb6b7c6e55c4d7a/scimeta/,Brian Miles,http://www.hydroshare.org/hsapi/resource/bf0ef05c01bc474caeb6b7c6e55c4d7a/map/,False,Ellerbe Creek at Club Blvd RHESSys model (5-m resolution),True,True,False,08-12-2015,http://www.hydroshare.org/resource/bf0ef05c01bc474caeb6b7c6e55c4d7a/,True,GenericResource
